,1,2
0,0,0.17944862079999999
1,1,1.843511467
2,2,2.0661419480000003
3,3,1.3912827540000001
4,4,0.5911346102
5,5,0.5686356655
6,6,2.59256977
7,7,0.2964589951
8,8,2.600909053
9,9,0.5213963918
10,10,2.460823389
11,11,3.8403835739999996
12,12,0.6630337957
13,13,2.73840562
14,14,3.840811822
15,15,2.968284935
16,16,0.7464498962
17,17,2.194028379
18,18,4.45296196
19,19,0.3942046237
20,20,1.273643658
21,21,0.06109203174
22,22,0.272381937
23,23,0.3179640469
24,24,0.42878386539999996
25,25,1.281333545
26,26,0.06613117427
27,27,1.409866954
28,28,1.152428955
29,29,1.620760896
30,30,1.318418232
31,31,1.4454842819999998
32,32,1.552920301
33,33,2.246402151
34,34,1.6415203580000002
35,35,1.579493778
36,36,0.2492452016
37,37,0.26652035469999996
38,38,0.9930043161
39,39,1.086530985
40,40,5.298830468999999
41,41,5.810827862000001
42,42,3.975204848
43,43,0.2785695702
44,44,0.4776270251
45,45,0.8655957425
46,46,1.286887699
47,47,0.5542201819
48,48,0.7099777071
49,49,0.9644874787000001
50,50,2.287514894
51,51,0.6458410044
52,52,0.1651734603
53,53,0.1296594595
54,54,0.4171076892
55,55,0.368641193
56,56,3.596838457
57,57,5.168326245
58,58,1.61670982
59,59,0.9365609649
60,60,2.260565717
61,61,3.282444425
62,62,0.4275248742
63,63,1.321778519
64,64,7.729431761
65,65,1.209969549
66,66,0.06624901183
67,67,0.1912287517
68,68,0.4154397653
69,69,2.497686963
70,70,1.71570975
71,71,0.3353252434
72,72,0.1458252716
73,73,0.3170539285
74,74,0.06681978278
75,75,0.20325947960000001
76,76,0.3636797546
77,77,0.06436526006
78,78,0.9717661916
79,79,3.1230708110000003
80,80,1.5102286530000002
81,81,1.621400723
82,82,0.4085327811
83,83,0.2775537965
84,84,0.3348897779
85,85,1.973837199
86,86,0.5353073525
87,87,0.5951153345
88,88,0.19087917710000002
89,89,0.05572249628
90,90,0.1615591946
91,91,5.0328349139999995
92,92,96.40907602
93,93,3.673951901
94,94,0.2056523064
95,95,0.6171414857
96,96,1.115323437
97,97,2.083398935
98,98,1.416554237
99,99,0.12802584449999999
100,100,0.6461855879999999
101,101,2.610586371
102,102,0.32528979999999996
103,103,0.4427881023
104,104,0.7361603669
105,105,0.056919239249999996
106,106,0.8942875315000001
107,107,0.4749806207
108,108,0.47748958539999997
109,109,1.6347558830000002
110,110,0.6307744338
111,111,1.913282779
112,112,3.5775382510000004
113,113,2.768526094
114,114,1.554647813
115,115,0.46611353640000003
116,116,0.5376990921
117,117,0.09535218026
118,118,0.9005860195000001
119,119,1.218337451
120,120,1.227267433
121,121,1.4810976519999999
122,122,4.931596044
123,123,0.6650118048
124,124,0.4640357296
125,125,0.6367586997
126,126,4.056308221
127,127,6.344479756
128,128,0.7671573366
129,129,1.543231019
130,130,0.6710069131
131,131,0.9520116340000001
132,132,0.7114291723
133,133,0.7237312588
134,134,0.12996365199999999
135,135,0.3132915207
136,136,1.075608915
137,137,0.4030867911
138,138,0.7056196701999999
139,139,0.7579064324
140,140,0.14428957480000001
141,141,0.2902162424
142,142,0.7014094705
143,143,1.811074951
144,144,2.58840045
145,145,2.167441911
146,146,1.242463629
147,147,1.3372029159999999
148,148,0.5792366845
149,149,0.5639710671
150,150,1.0534118559999999
151,151,1.6795238730000002
152,152,0.4826727751
153,153,0.4572060112
154,154,11.25071489
155,155,100.78389240000001
156,156,9.328457842
157,157,0.4659545277
158,158,2.341383825
159,159,1.240214192
160,160,0.8501718145999999
161,161,0.634022925
162,162,0.4390085987
163,163,0.7405250586
164,164,0.6446418615
165,165,1.4525104930000001
166,166,2.7978890360000004
167,167,1.0554055279999999
168,168,0.3274381726
169,169,1.7219216990000001
170,170,7.219818965
171,171,1.6451797940000001
172,172,0.18594572920000002
173,173,2.1919657530000003
174,174,0.7075504443999999
175,175,1.640183355
176,176,0.5706522624
177,177,0.9676243399
178,178,0.8082126428
179,179,5.351673879
180,180,1.86523782
181,181,0.5524029019
182,182,1.058858535
183,183,2.7991987989999996
184,184,2.9000501310000004
185,185,1.151469209
186,186,3.17949871
187,187,1.968901152
188,188,3.449653328
189,189,0.5421413482
190,190,2.662159644
191,191,1.656990515
192,192,0.4299577902
193,193,0.3350784993
194,194,1.205412623
195,195,0.6918121393000001
196,196,0.2079691428
197,197,0.2546243684
198,198,0.5407799615
199,199,0.1170796724
200,200,0.0715498285
201,201,2.229568864
202,202,2.294894669
203,203,0.5097319683
204,204,1.040971181
205,205,2.209428256
206,206,0.4513113653
207,207,1.3977084290000001
208,208,8.780759909
209,209,90.05775588
210,210,12.88341232
211,211,1.046793795
212,212,1.55217906
213,213,0.9845386888
214,214,0.6627040682
215,215,1.4470712630000002
216,216,0.5142524843999999
217,217,1.62034283
218,218,0.5531386495
219,219,0.6825715988
220,220,0.5882690035
221,221,0.1924499271
222,222,0.1819635382
223,223,0.4906054786
224,224,1.0657293540000001
225,225,1.129990094
226,226,0.5757866696
227,227,1.969372312
228,228,3.2672871260000003
229,229,2.64373807
230,230,2.915981562
231,231,2.253321432
232,232,0.6190852585000001
233,233,0.3154867315
234,234,0.5353369936
235,235,0.8078360857
236,236,2.150049193
237,237,1.278665132
238,238,1.6411543169999998
239,239,1.153664307
240,240,1.0783729579999999
241,241,2.062486641
242,242,0.3327991678
243,243,0.2198168045
244,244,0.6292125670000001
245,245,0.5922289038
246,246,1.764219081
247,247,0.3444839267
248,248,0.2273717784
249,249,0.8585725626999999
250,250,0.576825058
