1.455	-1.29792
1.46	-1.23335
1.465	-1.16871
1.47	-1.104
1.475	-1.03921
1.48	-0.974363
1.485	-0.909457
1.49	-0.844498
1.495	-0.77949
1.5	-0.714438
1.505	-0.649345
1.51	-0.584217
1.515	-0.519056
1.52	-0.453867
1.525	-0.388654
1.53	-0.32342
1.535	-0.258169
1.54	-0.192905
1.545	-0.12763
1.55	-0.0623483
1.555	0.00293633
1.56	0.0682208
1.565	0.133502
1.57	0.198776
1.575	0.264039
1.58	0.329289
1.585	0.394521
1.59	0.459732
1.595	0.524919
1.6	0.590077
1.605	0.655202
1.61	0.720291
1.615	0.78534
1.62	0.850344
1.625	0.915298
1.63	0.980199
1.635	1.04504
1.64	1.10982
1.645	1.17453
1.65	1.23917
1.655	1.30372
1.66	1.36819
1.665	1.43257
1.67	1.49685
1.675	1.56103
1.68	1.62509
1.685	1.68903
1.69	1.75285
1.695	1.81653
1.7	1.88007
1.705	1.94345
1.71	2.00668
1.715	2.06973
1.72	2.1326
1.725	2.19528
1.73	2.25776
1.735	2.32002
1.74	2.38206
1.745	2.44386
1.75	2.50541
1.755	2.5667
1.76	2.62771
1.765	2.68843
1.77	2.74884
1.775	2.80893
1.78	2.86869
1.785	2.92809
1.79	2.98712
1.795	3.04576
1.8	3.104
1.805	3.16181
1.81	3.21918
1.815	3.27609
1.82	3.33251
1.825	3.38843
1.83	3.44382
1.835	3.49867
1.84	3.55295
1.845	3.60664
1.85	3.65971
1.855	3.71214
1.86	3.76391
1.865	3.81499
1.87	3.86535
1.875	3.91498
1.88	3.96385
1.885	4.01192
1.89	4.05918
1.895	4.10559
1.9	4.15113
1.905	4.19578
1.91	4.2395
1.915	4.28226
1.92	4.32405
1.925	4.36483
1.93	4.40458
1.935	4.44326
1.94	4.48086
1.945	4.51734
1.95	4.55268
1.955	4.58685
1.96	4.61982
1.965	4.65158
1.97	4.68209
1.975	4.71133
1.98	4.73928
1.985	4.76591
1.99	4.79121
1.995	4.81514
2	4.8377
2.005	4.85885
2.01	4.87859
2.015	4.8969
2.02	4.91375
2.025	4.92914
2.03	4.94304
2.035	4.95545
2.04	4.96636
2.045	4.97575
2.05	4.98361
2.055	4.98995
2.06	4.99475
2.065	4.998
2.07	4.99972
2.075	4.99988
2.08	4.9985
2.085	4.99557
2.09	4.9911
2.095	4.98509
2.1	4.97755
2.105	4.96849
