,0,1
0,0.0,5.0
1,0.005,4.999230000000001
2,0.01,4.99691
3,0.015,4.993040000000001
4,0.02,4.98764
5,0.025,4.98071
6,0.03,4.97224
7,0.035,4.96226
8,0.04,4.9507699999999994
9,0.045,4.937790000000001
10,0.05,4.9233199999999995
11,0.055,4.90738
12,0.06,4.88999
13,0.065,4.87116
14,0.07,4.85091
15,0.075,4.829269999999999
16,0.08,4.80624
17,0.085,4.78186
18,0.09,4.75615
19,0.095,4.72912
20,0.1,4.7008
21,0.105,4.67122
22,0.11,4.64041
23,0.115,4.60838
24,0.12,4.5751599999999994
25,0.125,4.540780000000001
26,0.13,4.505269999999999
27,0.135,4.46866
28,0.14,4.43096
29,0.145,4.39222
30,0.15,4.35245
31,0.155,4.3116900000000005
32,0.16,4.26996
33,0.165,4.22729
34,0.17,4.18371
35,0.175,4.13924
36,0.18,4.09391
37,0.185,4.04775
38,0.19,4.000780000000001
39,0.195,3.9530300000000005
40,0.2,3.9045300000000003
41,0.205,3.8553
42,0.21,3.80536
43,0.215,3.75474
44,0.22,3.7034599999999998
45,0.225,3.65155
46,0.23,3.5990300000000004
47,0.235,3.5459099999999997
48,0.24,3.49223
49,0.245,3.438
50,0.25,3.3832400000000002
51,0.255,3.32798
52,0.26,3.27222
53,0.265,3.216
54,0.27,3.1593299999999997
55,0.275,3.10222
56,0.28,3.04469
57,0.285,2.98677
58,0.29,2.92846
59,0.295,2.86978
60,0.3,2.81075
61,0.305,2.75137
62,0.31,2.6916700000000002
63,0.315,2.6316599999999997
64,0.32,2.57135
65,0.325,2.51075
66,0.33,2.44987
67,0.335,2.3887400000000003
68,0.34,2.32735
69,0.345,2.26572
70,0.35,2.20385
71,0.355,2.14177
72,0.36,2.0794799999999998
73,0.365,2.0169799999999998
74,0.37,1.95429
75,0.375,1.89142
76,0.38,1.82838
77,0.385,1.7651599999999998
78,0.39,1.7017900000000001
79,0.395,1.6382700000000001
80,0.4,1.5746
81,0.405,1.5108
82,0.41,1.44686
83,0.415,1.38281
84,0.42,1.31864
85,0.425,1.2543600000000001
86,0.43,1.18997
87,0.435,1.1254899999999999
88,0.44,1.06092
89,0.445,0.996268
90,0.45,0.9315329999999999
91,0.455,0.866725
92,0.46,0.8018489999999999
93,0.465,0.736911
94,0.47,0.671916
95,0.475,0.606869
96,0.48,0.541775
97,0.485,0.47663999999999995
98,0.49,0.411469
99,0.495,0.346267
100,0.5,0.281039
101,0.505,0.21579
102,0.51,0.150524
103,0.515,0.085247
104,0.52,0.019963599999999998
105,0.525,-0.0453212
106,0.53,-0.11060299999999999
107,0.535,-0.175876
108,0.54,-0.24113600000000002
109,0.545,-0.30637800000000004
110,0.55,-0.371596
111,0.555,-0.436787
