,ADB,MaxEnergy
0,0.5,0.125
1,0.75,0.18600000000000003
2,1.0,0.24600000000000002
3,1.25,0.3049999872
4,1.5,0.3609999872
5,1.75,0.414
6,2.0,0.46399999999999997
7,2.25,0.5110000128
8,2.5,0.5510000128
9,2.75,0.5849999872
10,3.0,0.6129999872
