,1,2,3
0,1,61,1.86339866
1,2,63,2.92311501
2,3,67,1.254698334
3,4,435,7.302239525
4,5,438,1.797088049
5,6,484,2.278670637
6,7,519,1.426808514
7,8,686,2.364017636
8,9,688,2.570005409
9,10,814,3.904515992
10,11,890,1.808231608
11,12,893,4.553052159
