,1,2,3
0,1,63,106.72896670000002
1,2,163,114.1961946
2,3,256,97.38056933
3,4,324,94.94155957
4,5,359,87.50287895
5,6,466,87.50675805
6,7,498,93.69856973
7,8,607,105.05610190000002
8,9,641,91.6503397
9,10,716,100.9329743
10,11,770,98.75874641
11,12,866,117.84430449999999
12,13,972,112.12082020000001
