,1,2,3,4,5,6
0,5.296570127,109992.795,109994.71,109996.635,109998.585,0.5181347145
1,5.351409605,109993.04,109994.945,109996.895,109998.8,0.5208333328
2,5.15761178,109992.655,109994.685,109996.66,109998.645,0.5008347241
3,5.173767034,109992.165,109994.14,109996.095,109998.11,0.5046257354
4,4.795791156,109992.89,109995.005,109997.12,109999.26,0.47095761340000003
5,5.123489899,109993.22,109995.24,109997.245,109999.22,0.4999999995
6,4.999833472,109992.69,109994.745,109996.785,109998.83,0.4885993481
7,5.2947513619999995,109994.015,109995.985,109997.92,109999.845,0.5145797594
8,5.260943061,109993.46,109995.395,109997.325,109999.295,0.5141388170000001
9,5.0097876139999995,109992.225,109994.235,109996.28,109998.355,0.4893964106
10,4.972856473,109992.145,109994.175,109996.23,109998.295,0.48780487759999996
11,5.078255406999999,109993.005,109995.025,109997.04,109999.055,0.49586776810000005
12,5.242453502,109994.09,109996.065,109998.015,109999.97,0.5102040811999999
13,5.323877782,109993.925,109995.855,109997.765,109999.695,0.5199306754
14,5.493862729,109993.93,109995.79,109997.665,109999.54,0.5347593578000001
15,5.370947021,109992.765,109994.715,109996.62,109998.49,0.5240174667999999
