,1,2,3
0,1,78,2.016732333
1,2,216,1.8181134490000002
2,3,218,1.8546535530000001
3,4,228,1.250860384
4,5,256,1.1415196459999999
5,6,548,2.240434574
6,7,613,7.426522871
7,8,676,1.8964139530000002
