,1,2,3
0,1,176,7.697399876
1,2,275,2.31843197
2,3,352,1.012081935
3,4,355,2.341734537
4,5,402,0.9461181027
5,6,404,1.242000561
6,7,413,1.27642927
7,8,582,2.159238154
8,9,585,1.9334482769999999
9,10,731,5.248986694
10,11,875,1.0209181390000002
11,12,878,0.8776962845999999
