,1,2,3
0,1,88,1.6684997940000001
1,2,91,2.139732496
2,3,93,1.42584066
3,4,229,3.1167677489999996
4,5,232,2.144108927
5,6,293,2.578614231
6,7,296,3.843119845
7,8,421,5.778538789
8,9,515,5.635329952999999
9,10,533,4.48949227
10,11,740,1.39980574
11,12,817,4.85446571
12,13,830,3.525911382
13,14,838,2.340862278
14,15,955,5.340883265
15,16,998,3.23069192
